id,id_tiempo,id_territorio,id_tipo_delito,coneguts,resolts,detencions
491,13,19,34,2,0,0
492,13,19,35,9,10,0
493,13,19,16,91,74,2
494,13,20,1,4,1,1
495,13,20,2,1,2,0
496,13,20,46,1,2,0
497,13,20,42,4,0,0
498,13,20,17,29,24,15
499,13,20,18,19,17,2
500,13,20,19,4,5,3
501,13,20,3,28,5,6
502,13,20,47,2,0,0
503,13,20,4,21,12,9
504,13,20,20,711,86,75
505,13,20,48,16,13,18
506,13,20,49,2,3,0
507,13,20,21,145,21,20
508,13,20,22,125,5,5
509,13,20,23,261,47,59
510,13,20,24,21,10,0
511,13,20,43,1,1,0
512,13,20,6,11,10,9
513,13,20,26,27,25,20
514,13,20,38,1,1,1
515,13,20,57,5,5,23
516,13,20,9,1,0,0
517,13,20,27,1,1,1
518,13,20,10,17,15,10
519,13,20,44,6,6,0
520,13,20,28,1,1,3
521,13,20,29,2,2,1
522,13,20,39,2,2,2
523,13,20,30,22,22,0
524,13,20,31,11,12,11
525,13,20,32,4,4,2
526,13,20,55,1,1,0
527,13,20,33,1,1,0
528,13,20,14,81,79,97
529,191,1,1,112,4,0
530,13,20,53,0,1,0
531,13,20,15,1745,459,93
532,13,20,34,12,10,0
533,13,20,35,20,19,1
534,13,20,16,74,68,5
535,13,21,62,0,0,1
536,13,21,1,3,3,0
537,13,21,2,10,9,3
538,13,21,42,13,2,1
539,13,21,17,31,30,15
540,13,21,18,9,9,4
541,13,21,19,11,11,4
542,13,21,3,45,9,8
543,13,21,47,2,0,0
544,13,21,4,53,18,2
545,13,21,20,642,78,92
546,13,21,48,2,2,0
547,13,21,49,1,2,1
548,13,21,21,173,37,30
549,13,21,22,244,6,7
550,13,21,23,249,40,30
551,13,21,24,59,37,2
552,13,21,5,1,1,0
553,13,21,36,2,1,0
554,13,21,25,2,2,0
555,13,21,6,5,6,7
556,13,21,26,11,11,11
557,13,21,63,1,1,0
558,13,21,9,2,2,0
559,13,21,27,2,2,0
560,13,21,10,24,25,8
561,13,21,44,1,1,0
562,13,21,28,1,1,1
563,13,21,29,0,1,1
564,13,21,13,0,0,1
565,13,21,30,21,20,0
566,13,21,31,22,24,27
567,13,21,32,5,5,4
568,13,21,33,2,2,0
569,13,21,14,9,9,9
570,13,21,45,1,1,1
571,13,21,15,1986,185,27
572,13,21,34,1,0,0
573,13,21,35,7,7,1
574,13,21,16,86,77,0
575,13,22,59,1,0,0
576,13,22,54,1,1,1
577,13,22,64,1,1,0
578,13,22,1,2,2,0
579,13,22,2,6,1,1
580,13,22,42,2,0,1
581,13,22,17,20,16,9
582,13,22,18,9,9,5
583,13,22,19,10,8,4
584,13,22,3,25,8,5
585,13,22,47,2,2,0
586,13,22,4,24,6,1
587,13,22,20,210,25,30
588,13,22,48,2,2,0
589,13,22,65,1,1,1
590,13,22,49,1,1,1
591,13,22,21,120,21,16
592,13,22,22,140,5,4
593,13,22,23,122,17,22
594,13,22,24,47,21,1
595,13,22,36,2,2,0
596,13,22,6,5,3,5
597,13,22,26,4,4,6
598,13,22,38,2,0,0
599,13,22,9,1,0,0
600,13,22,27,1,1,0
601,13,22,10,14,11,3
602,13,22,44,1,1,0
603,13,22,28,1,1,0
604,13,22,29,1,0,0
605,13,22,13,2,2,0
606,13,22,39,3,3,1
607,13,22,30,22,22,1
608,13,22,31,15,15,13
609,13,22,32,0,0,1
610,13,22,33,2,2,0
611,13,22,66,0,0,1
612,13,22,14,6,5,3
613,13,22,45,1,1,1
614,13,22,15,752,76,1
615,13,22,34,2,3,0
616,13,22,35,3,3,0
617,13,22,16,65,52,5
618,13,23,2,1,0,0
619,13,23,42,6,2,3
620,13,23,17,5,3,2
621,13,23,18,4,3,4
622,13,23,19,3,3,1
623,13,23,3,13,1,1
624,13,23,4,13,5,2
625,13,23,60,0,0,1
626,13,23,20,103,14,12
627,13,23,48,1,1,2
628,13,23,49,1,1,0
629,13,23,21,33,6,6
630,13,23,22,71,3,4
631,13,23,23,60,7,4
632,13,23,24,27,17,2
633,13,23,5,1,1,0
634,13,23,6,1,0,1
635,13,23,26,5,4,5
636,13,23,9,2,0,0
637,13,23,10,5,2,1
638,13,23,29,1,0,0
639,13,23,11,1,1,0
640,13,23,13,0,0,1
641,13,23,39,1,1,1
642,13,23,30,24,24,0
643,13,23,31,6,6,5
644,13,23,32,1,1,1
