Codi_districte,Coordenada_UTM_X_ED50,Nk_Any,Causa conductor,Nom_districte,Descripcio_torn,Coordenada_UTM_Y_ED50,Codi_carrer,Nom_carrer,Dia_mes,Nom_mes,Nom_barri,Hora_dia,Número_expedient,Latitud_WGS84,Codi_barri,Mes_any,_id,Num_postal,Longitud_WGS84,Descripcio_dia_setmana
1,431077.022,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4581427.379,34308,Rambla,19,Juliol,el Raval,4,2025S004293,41.37957075,1,7,74,,2.17461019,Dissabte
1,431110.582,2025,Desobeir semàfor,Ciutat Vella,Tarda,4580879.869,198804,Paral·lel,16,Juliol,el Raval,17,2025S004393,41.37464235,1,7,75,,2.17507377,Dimecres
1,430828.378,2025,No respectat pas de vianants,Ciutat Vella,Tarda,4581327.416,308505,Sant Pau,24,Juliol,el Raval,20,2025S004431,41.37864906,1,7,76,53,2.17164832,Dijous
1,430307.066,2025,Altres,Ciutat Vella,Matí,4581138.309,308709,Sant Pau,31,Agost,el Raval,11,2025S004502,41.37690082,1,8,77,,2.16543631,Diumenge
1,430448.847,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581613.056,254803,Peu de la Creu,28,Juliol,el Raval,11,2025S004524,41.38118900,1,7,78,17B,2.16707715,Dilluns
1,430457.739,2025,No determinada,Ciutat Vella,Tarda,4581633.153,254803,Peu de la Creu,29,Juliol,el Raval,14,2025S004554,41.38137078,1,7,79,12,2.16718117,Dimarts
1,431303.956,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4580950.667,700025,Josep Carner,8,Agost,el Raval,23,2025S004752,41.37529655,1,8,80,,2.17737794,Divendres
1,430686.858,2025,Avançament defectuós/improcedent,Ciutat Vella,Matí,4580920.057,86902,Nou de la Rambla,10,Agost,el Raval,12,2025S004772,41.37496791,1,8,81,,2.17000266,Diumenge
1,430686.858,2025,Gir indegut o sense precaució,Ciutat Vella,Matí,4580920.057,86902,Nou de la Rambla,10,Agost,el Raval,12,2025S004772,41.37496791,1,8,82,,2.17000266,Diumenge
1,430837.993,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581755.061,34308,Rambla,12,Agost,el Raval,6,2025S004795,41.38250156,1,8,83,99,2.17171446,Dimarts
1,431161.593,2025,No respectat pas de vianants,Ciutat Vella,Tarda,4581300.310,34308,Rambla,7,Agost,el Raval,18,2025S004838,41.37843351,1,8,84,,2.17563594,Dijous
1,431141.525,2025,Gir indegut o sense precaució,Ciutat Vella,Tarda,4581056.298,269200,Portal de Santa Madrona,19,Agost,el Raval,18,2025S004920,41.37623405,1,8,85,,2.17542370,Dimarts
1,430238.805,2025,Altres,Ciutat Vella,Tarda,4582097.331,349207,Universitat,21,Agost,el Raval,21,2025S004961,41.38553252,1,8,86,6,2.16450961,Dijous
1,430506.270,2025,Manca d'atenció a la conducció,Ciutat Vella,Tarda,4582109.552,250904,Pelai,22,Agost,el Raval,20,2025S004968,41.38566575,1,8,88,,2.16770684,Divendres
1,430951.604,2025,Manca precaució efectuar marxa enrera,Ciutat Vella,Matí,4580992.967,21306,Arc del Teatre,25,Agost,el Raval,9,2025S004990,41.37564736,1,8,89,63,2.17315996,Dilluns
1,430506.270,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4582109.552,357001,Bergara,1,Setembre,el Raval,11,2025S005102,41.38566575,1,9,90,,2.16770684,Dilluns
1,430868.420,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4581557.821,20303,Arc de Sant Agustí,4,Setembre,el Raval,1,2025S005158,41.38072770,1,9,91,1,2.17210084,Dijous
1,430626.853,2025,Manca d'atenció a la conducció,Ciutat Vella,Tarda,4582082.013,250904,Pelai,5,Setembre,el Raval,17,2025S005230,41.38542814,1,9,92,56,2.16915207,Divendres
1,430824.751,2025,Manca d'atenció a la conducció,Ciutat Vella,Tarda,4581041.681,234602,Om,10,Setembre,el Raval,15,2025S005315,41.37607521,1,9,93,6,2.17163758,Dimecres
1,430423.152,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4581546.944,282106,Riera Alta,14,Setembre,el Raval,0,2025S005370,41.38059132,1,9,94,12,2.16677747,Diumenge
1,431242.622,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4580854.666,701349,Drassanes,20,Setembre,el Raval,2,2025S005499,41.37442665,1,9,95,,2.17665545,Dissabte
1,430679.397,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4581505.549,157909,Hospital,27,Setembre,el Raval,1,2025S005645,41.38024062,1,9,96,87,2.16984644,Dissabte
1,430860.318,2025,No respectar distàncies,Ciutat Vella,Matí,4581140.329,308301,Sant Oleguer,1,Octubre,el Raval,12,2025S005749,41.37696676,1,10,97,,2.17205161,Dimecres
1,430753.225,2025,Manca precaució efectuar marxa enrera,Ciutat Vella,Nit,4581987.863,34308,Rambla,2,Octubre,el Raval,23,2025S005780,41.38459104,1,10,98,,2.17067414,Dijous
1,430951.151,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581244.933,86902,Nou de la Rambla,8,Octubre,el Raval,11,2025S006054,41.37791671,1,10,99,31,2.17312583,Dimecres
1,430526.318,2025,Manca d'atenció a la conducció,Ciutat Vella,Tarda,4582059.008,171003,Jovellanos,15,Octubre,el Raval,19,2025S006080,41.38521225,1,10,100,4,2.16795240,Dimecres
